hidden dimension=32, epochs=10
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.229625,1.630883812904358,0.2075,1.7602033615112305
2,0.236,1.6255252361297607,0.3275,1.5678750276565552
3,0.2360625,1.6297913789749146,0.17125,1.7557458877563477

hidden dimension=32, epochs=10, dropout=0.25
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2368125,1.6116315126419067,0.26375,1.5674693584442139
2,0.2353125,1.6142421960830688,0.10375,1.7026318311691284
3,0.2505625,1.6041220426559448,0.21125,1.6484965085983276
4,0.2483125,1.6059370040893555,0.4225,1.4617233276367188
5,0.2455,1.6063892841339111,0.18875,1.6660505533218384
6,0.2609375,1.5923057794570923,0.2825,1.5542412996292114
7,0.260375,1.592931866645813,0.23875,1.5645138025283813
8,0.270125,1.5769480466842651,0.1925,1.6295840740203857
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.233875,1.6221731901168823,0.2425,1.6572482585906982
2,0.2405625,1.6108746528625488,0.38625,1.6010061502456665
3,0.22425,1.627753734588623,0.2,1.6403014659881592
4,0.224875,1.6362711191177368,0.28125,1.5649447441101074
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.245625,1.60541570186615,0.12625,1.693559169769287
2,0.2425,1.611033320426941,0.31625,1.6078691482543945
3,0.2311875,1.6113208532333374,0.28125,1.4983267784118652
4,0.24,1.6021111011505127,0.27,1.6433088779449463
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.234375,1.6199150085449219,0.2125,1.6088759899139404
2,0.2311875,1.6317172050476074,0.27125,1.651503562927246
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.23075,1.6105774641036987,0.35625,1.5334162712097168
2,0.2326875,1.604500412940979,0.36,1.5217231512069702
3,0.236375,1.6059379577636719,0.38,1.389620304107666
4,0.23975,1.6078786849975586,0.215,1.6029952764511108
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.225,1.6082745790481567,0.23375,1.6410315036773682
2,0.2329375,1.6055618524551392,0.34,1.5439790487289429
3,0.234125,1.6095858812332153,0.13125,1.7357527017593384
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2056875,1.6117444038391113,0.33125,1.6425422430038452
2,0.2071875,1.6107434034347534,0.38625,1.5575486421585083
3,0.205375,1.6113569736480713,0.24375,1.589439868927002
4,0.2051875,1.6114164590835571,0.0575,1.6204415559768677
5,0.2068125,1.6107673645019531,0.07125,1.6199352741241455
6,0.2089375,1.6108291149139404,0.41,1.5341506004333496
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.218,1.6383329629898071,0.1775,1.6607537269592285
2,0.2080625,1.653501272201538,0.13125,1.6019659042358398
3,0.2024375,1.6550239324569702,0.1025,1.6959339380264282
4,0.198375,1.6530081033706665,0.0775,1.72442626953125
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.237625,1.6187664270401,0.40875,1.378146767616272
2,0.249125,1.612365961074829,0.3875,1.448305606842041
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2289375,1.6271998882293701,0.27625,1.5959831476211548
2,0.24425,1.6163636445999146,0.21375,1.6307841539382935
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2023125,1.6912388801574707,0.2175,1.6247693300247192
2,0.2193125,1.660573124885559,0.35625,1.5761440992355347
3,0.2265625,1.665810465812683,0.16875,1.7506256103515625
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2154375,1.6731891632080078,0.19625,1.6562094688415527
2,0.2315,1.6529265642166138,0.11375,1.6796371936798096
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.25525,1.587571620941162,0.3425,1.532008171081543
2,0.28925,1.5507105588912964,0.36625,1.3909062147140503
3,0.298875,1.5405937433242798,0.31625,1.4785476922988892
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2438125,1.5940606594085693,0.30625,1.5516409873962402
2,0.27025,1.569665551185608,0.39375,1.3348017930984497
3,0.2794375,1.5608404874801636,0.29375,1.5512431859970093
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2099375,1.6253827810287476,0.2625,1.600286602973938
2,0.231,1.602391242980957,0.30375,1.5682395696640015
3,0.3028125,1.5207602977752686,0.085,1.9988877773284912
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.213375,1.6257051229476929,0.27625,1.5922296047210693
2,0.23225,1.6037567853927612,0.27875,1.571928858757019
3,0.2549375,1.5862314701080322,0.32,1.5180106163024902
4,0.315125,1.51075279712677,0.29875,1.5179686546325684
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2149375,1.6215873956680298,0.24875,1.5943336486816406
2,0.2310625,1.6054965257644653,0.2525,1.5965782403945923
3,0.25175,1.592086672782898,0.28125,1.5854588747024536
4,0.29725,1.5398799180984497,0.28,1.5680078268051147
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.207375,1.6276012659072876,0.255,1.6022343635559082
2,0.2230625,1.6112353801727295,0.27,1.5954012870788574
3,0.23425,1.6028436422348022,0.26875,1.5862562656402588
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.20775,1.6299927234649658,0.16875,1.6188446283340454
2,0.2245625,1.6132047176361084,0.2175,1.604447841644287
3,0.233,1.604498267173767,0.245,1.5974241495132446
4,0.2469375,1.5937587022781372,0.2575,1.5949586629867554
5,0.26075,1.5829346179962158,0.29875,1.5565677881240845
6,0.3140625,1.5144333839416504,0.35625,1.4428483247756958
7,0.3255,1.490552544593811,0.0275,2.1195895671844482
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2003125,1.6349031925201416,0.19625,1.60367751121521
2,0.2154375,1.6177479028701782,0.22375,1.6030480861663818
3,0.223625,1.611580491065979,0.24,1.5932632684707642
4,0.230625,1.6040016412734985,0.2675,1.5908448696136475
5,0.243,1.5978238582611084,0.2975,1.5723680257797241
6,0.2505,1.5866678953170776,0.2675,1.585342288017273
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2074375,1.6281756162643433,0.21375,1.6062754392623901
2,0.2215,1.616619348526001,0.20125,1.607387900352478
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.237125,1.6028252840042114,0.38375,1.4395887851715088
2,0.2584375,1.5785082578659058,0.29375,1.582411766052246
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.263375,1.5719267129898071,0.27375,1.6024724245071411
2,0.3136875,1.5230984687805176,0.2975,1.5650489330291748
3,0.341125,1.4773356914520264,0.13,1.9752575159072876
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2374375,1.628658652305603,0.35,1.5806246995925903
2,0.2433125,1.6197389364242554,0.36375,1.495030403137207
3,0.2249375,1.6293107271194458,0.19625,1.6169108152389526
4,0.2080625,1.6415139436721802,0.2725,1.6163374185562134
5,0.2165625,1.641714096069336,0.15,1.6614248752593994
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.217875,1.6164790391921997,0.25375,1.6097947359085083
2,0.2464375,1.5953336954116821,0.295,1.5817558765411377
3,0.3069375,1.5228739976882935,0.13375,1.8842048645019531
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.20425,1.623070240020752,0.20625,1.61769437789917
2,0.2271875,1.6050294637680054,0.23625,1.6039313077926636
3,0.250125,1.5898723602294922,0.255,1.598728060722351
4,0.3078125,1.527298092842102,0.3625,1.4409388303756714
5,0.327,1.4863961935043335,0.3475,1.4342252016067505
Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.2195625,1.614891529083252,0.27875,1.5986328125
